Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,Use.Ad.Data,delta.15.N,delta.13.C
2,2,2007/2008,1,PAL,ADPE,AD 1E,N1A2,TOR,11/11/2007,2007315,Yes,9,-24.7
3,3,2007/2008,1,PAL,ADPE,AD 1E,N2A1,TOR,11/16/2007,2007320,Yes,8.4,-25.3
5,5,2007/2008,1,PAL,ADPE,AD 1E,N3A1,TOR,11/16/2007,2007320,Yes,8.8,-25.3
6,6,2007/2008,1,PAL,ADPE,AD 1E,N3A2,TOR,11/16/2007,2007320,Yes,8.7,-25.3
10,10,2007/2008,1,PAL,ADPE,AD 1E,N5A2,TOR,11/9/2007,2007313,Yes,9.1,-25.1
11,11,2007/2008,1,PAL,ADPE,AD 1E,N6A1,TOR,11/9/2007,2007313,Yes,8.6,-25.2
15,15,2007/2008,1,PAL,ADPE,AD 1E,N8A1,TOR,11/16/2007,2007320,Yes,8.6,-25.2
17,17,2007/2008,1,PAL,ADPE,AD 1E,N9A1,TOR,11/12/2007,2007316,Yes,9.2,-25.1
18,18,2007/2008,1,PAL,ADPE,AD 1E,N9A2,TOR,11/12/2007,2007316,Yes,8.7,-25.1
19,19,2007/2008,1,PAL,ADPE,AD 1E,N10A1,TOR,11/16/2007,2007320,Yes,8.5,-25.2
20,20,2007/2008,1,PAL,ADPE,AD 1E,N10A2,TOR,11/16/2007,2007320,Yes,9.1,-24.8
21,21,2007/2008,1,PAL,ADPE,AD 1E,N11A1,BIS,11/12/2007,2007316,Yes,8.7,-25.1
22,22,2007/2008,1,PAL,ADPE,AD 1E,N11A2,BIS,11/12/2007,2007316,Yes,8.7,-25.1
23,23,2007/2008,1,PAL,ADPE,AD 1E,N12A1,BIS,11/12/2007,2007316,Yes,9.2,-25
24,24,2007/2008,1,PAL,ADPE,AD 1E,N12A2,BIS,11/12/2007,2007316,Yes,8.4,-25.2
25,25,2007/2008,1,PAL,ADPE,AD 1E,N13A1,BIS,11/10/2007,2007314,Yes,9.6,-25.3
26,26,2007/2008,1,PAL,ADPE,AD 1E,N13A2,BIS,11/10/2007,2007314,Yes,9.2,-24.4
27,27,2007/2008,1,PAL,ADPE,AD 1E,N17A1,BIS,11/12/2007,2007316,Yes,8.9,-25.4
28,28,2007/2008,1,PAL,ADPE,AD 1E,N17A2,BIS,11/12/2007,2007316,Yes,8.1,-25.5
31,31,2007/2008,1,PAL,ADPE,AD 1E,N21A1,DRE,11/9/2007,2007313,Yes,9.7,-25.1
32,32,2007/2008,1,PAL,ADPE,AD 1E,N21A2,DRE,11/9/2007,2007313,Yes,9.7,-25
33,33,2007/2008,1,PAL,ADPE,AD 1E,N22A1,DRE,11/9/2007,2007313,Yes,9.7,-25.1
34,34,2007/2008,1,PAL,ADPE,AD 1E,N22A2,DRE,11/9/2007,2007313,Yes,8.8,-25.1
35,35,2007/2008,1,PAL,ADPE,AD 1E,N23A1,DRE,11/16/2007,2007320,Yes,9.2,-25.2
36,36,2007/2008,1,PAL,ADPE,AD 1E,N23A2,DRE,11/16/2007,2007320,Yes,9.2,-25
37,37,2007/2008,1,PAL,ADPE,AD 1E,N24A1,DRE,11/16/2007,2007320,Yes,9.2,-25.1
38,38,2007/2008,1,PAL,ADPE,AD 1E,N24A2,DRE,11/16/2007,2007320,Yes,8,-25.5
41,41,2007/2008,1,PAL,ADPE,AD 1E,N26A1,DRE,11/16/2007,2007320,Yes,9.7,-24.4
43,43,2007/2008,1,PAL,ADPE,AD 1E,N27A1,DRE,11/19/2007,2007323,Yes,9.5,-25
44,44,2007/2008,1,PAL,ADPE,AD 1E,N27A2,DRE,11/19/2007,2007323,Yes,9.2,-24.5
45,45,2007/2008,1,PAL,ADPE,AD 1E,N28A1,DRE,11/16/2007,2007320,Yes,9.4,-25
46,46,2007/2008,1,PAL,ADPE,AD 1E,N28A2,DRE,11/16/2007,2007320,Yes,9.5,-24.1
49,49,2007/2008,1,PAL,ADPE,AD 1E,N30A1,DRE,11/13/2007,2007317,Yes,9.5,-25.1
50,50,2007/2008,1,PAL,ADPE,AD 1E,N30A2,DRE,11/13/2007,2007317,Yes,8.9,-25.2
51,51,2008/2009,2,PAL,ADPE,AD 1E,N21A1,BIS,11/6/2008,2008311,Yes,8.5,-26.1
52,52,2008/2009,2,PAL,ADPE,AD 1E,N21A2,BIS,11/6/2008,2008311,Yes,8.5,-26.6
53,53,2008/2009,2,PAL,ADPE,AD 1E,N22A1,BIS,11/9/2008,2008314,Yes,8.2,-26.2
54,54,2008/2009,2,PAL,ADPE,AD 1E,N22A2,BIS,11/9/2008,2008314,Yes,8.5,-26.3
55,55,2008/2009,2,PAL,ADPE,AD 1E,N23A1,BIS,11/9/2008,2008314,Yes,8.4,-26.5
56,56,2008/2009,2,PAL,ADPE,AD 1E,N23A2,BIS,11/9/2008,2008314,Yes,8.4,-26.3
57,57,2008/2009,2,PAL,ADPE,AD 1E,N24A1,BIS,11/15/2008,2008320,Yes,8.6,-26.1
58,58,2008/2009,2,PAL,ADPE,AD 1E,N24A2,BIS,11/15/2008,2008320,Yes,8.6,-26
59,59,2008/2009,2,PAL,ADPE,AD 1E,N25A1,BIS,11/15/2008,2008320,Yes,9.1,-25.9
60,60,2008/2009,2,PAL,ADPE,AD 1E,N25A2,BIS,11/15/2008,2008320,Yes,9.1,-25.9
61,61,2008/2009,2,PAL,ADPE,AD 1E,N27A1,BIS,11/13/2008,2008318,Yes,9,-26.4
62,62,2008/2009,2,PAL,ADPE,AD 1E,N27A2,BIS,11/13/2008,2008318,Yes,8.7,-26.4
63,63,2008/2009,2,PAL,ADPE,AD 1E,N28A1,BIS,11/13/2008,2008318,Yes,8.6,-26.2
64,64,2008/2009,2,PAL,ADPE,AD 1E,N28A2,BIS,11/13/2008,2008318,Yes,8.6,-26.6
65,65,2008/2009,2,PAL,ADPE,AD 1E,N29A1,BIS,11/13/2008,2008318,Yes,8.6,-26.1
66,66,2008/2009,2,PAL,ADPE,AD 1E,N29A2,BIS,11/13/2008,2008318,Yes,8.9,-26.1
67,67,2008/2009,2,PAL,ADPE,AD 1E,N30A1,BIS,11/6/2008,2008311,Yes,8.6,-26
68,68,2008/2009,2,PAL,ADPE,AD 1E,N30A2,BIS,11/6/2008,2008311,Yes,8.7,-25.8
71,71,2008/2009,2,PAL,ADPE,AD 1E,N34A1,TOR,11/15/2008,2008320,Yes,7.9,-26.6
72,72,2008/2009,2,PAL,ADPE,AD 1E,N34A2,TOR,11/15/2008,2008320,Yes,9.3,-25.2
73,73,2008/2009,2,PAL,ADPE,AD 1E,N35A1,TOR,11/11/2008,2008316,Yes,8.3,-26.6
74,74,2008/2009,2,PAL,ADPE,AD 1E,N35A2,TOR,11/11/2008,2008316,Yes,8.2,-26.5
75,75,2008/2009,2,PAL,ADPE,AD 1E,N36A1,TOR,11/8/2008,2008313,Yes,8.7,-26.2
76,76,2008/2009,2,PAL,ADPE,AD 1E,N36A2,TOR,11/8/2008,2008313,Yes,8.3,-26.4
77,77,2008/2009,2,PAL,ADPE,AD 1E,N37A1,TOR,11/7/2008,2008312,Yes,8.5,-26
78,78,2008/2009,2,PAL,ADPE,AD 1E,N37A2,TOR,11/7/2008,2008312,Yes,8.4,-26.4
79,79,2008/2009,2,PAL,ADPE,AD 1E,N38A1,TOR,11/10/2008,2008315,Yes,7.8,-26.5
80,80,2008/2009,2,PAL,ADPE,AD 1E,N38A2,TOR,11/10/2008,2008315,Yes,9.1,-25.8
81,81,2008/2009,2,PAL,ADPE,AD 1E,N39A1,TOR,11/4/2008,2008309,Yes,7.7,-26.5
82,82,2008/2009,2,PAL,ADPE,AD 1E,N39A2,TOR,11/4/2008,2008309,Yes,8.6,-26.2
83,83,2008/2009,2,PAL,ADPE,AD 1E,N40A1,TOR,11/7/2008,2008312,Yes,7.9,-26.2
84,84,2008/2009,2,PAL,ADPE,AD 1E,N40A2,TOR,11/7/2008,2008312,Yes,8.9,-26.5
85,85,2008/2009,2,PAL,ADPE,AD 1E,N41A1,DRE,11/17/2008,2008322,Yes,8.3,-26.4
86,86,2008/2009,2,PAL,ADPE,AD 1E,N41A2,DRE,11/17/2008,2008322,Yes,9.1,-26.1
87,87,2008/2009,2,PAL,ADPE,AD 1E,N42A1,DRE,11/8/2008,2008313,Yes,8.6,-26.2
88,88,2008/2009,2,PAL,ADPE,AD 1E,N42A2,DRE,11/8/2008,2008313,Yes,8.6,-26.1
89,89,2008/2009,2,PAL,ADPE,AD 1E,N44A1,DRE,11/8/2008,2008313,Yes,9.1,-26.1
90,90,2008/2009,2,PAL,ADPE,AD 1E,N44A2,DRE,11/8/2008,2008313,Yes,8.4,-26.1
91,91,2008/2009,2,PAL,ADPE,AD 1E,N45A1,DRE,11/14/2008,2008319,Yes,8.5,-26.1
92,92,2008/2009,2,PAL,ADPE,AD 1E,N45A2,DRE,11/14/2008,2008319,Yes,8.8,-25.8
93,93,2008/2009,2,PAL,ADPE,AD 1E,N46A1,DRE,11/5/2008,2008310,Yes,8,-26.7
94,94,2008/2009,2,PAL,ADPE,AD 1E,N46A2,DRE,11/5/2008,2008310,Yes,8.5,-26.4
95,95,2008/2009,2,PAL,ADPE,AD 1E,N48A1,DRE,11/17/2008,2008322,Yes,8.9,-26.3
96,96,2008/2009,2,PAL,ADPE,AD 1E,N48A2,DRE,11/17/2008,2008322,Yes,8.5,-26.6
97,97,2008/2009,2,PAL,ADPE,AD 1E,N49A1,DRE,11/8/2008,2008313,Yes,8.1,-26.5
98,98,2008/2009,2,PAL,ADPE,AD 1E,N49A2,DRE,11/8/2008,2008313,Yes,8.4,-26
99,99,2008/2009,2,PAL,ADPE,AD 1E,N50A1,DRE,11/10/2008,2008315,Yes,9,-26.2
100,100,2008/2009,2,PAL,ADPE,AD 1E,N50A2,DRE,11/10/2008,2008315,Yes,9,-26
101,101,2009/2010,3,PAL,ADPE,AD 1E,N47A1,BIS,11/9/2009,2009313,Yes,8.8,-26.3
102,102,2009/2010,3,PAL,ADPE,AD 1E,N47A2,BIS,11/9/2009,2009313,Yes,9,-26.4
103,103,2009/2010,3,PAL,ADPE,AD 1E,N49A1,BIS,11/15/2009,2009319,Yes,9.2,-26.2
104,104,2009/2010,3,PAL,ADPE,AD 1E,N49A2,BIS,11/15/2009,2009319,Yes,9.5,-25.7
105,105,2009/2010,3,PAL,ADPE,AD 1E,N51A1,BIS,11/17/2009,2009321,Yes,9,-25.9
106,106,2009/2010,3,PAL,ADPE,AD 1E,N51A2,BIS,11/17/2009,2009321,Yes,8.9,-25.8
107,107,2009/2010,3,PAL,ADPE,AD 1E,N53A1,BIS,11/15/2009,2009319,Yes,8.8,-26.5
108,108,2009/2010,3,PAL,ADPE,AD 1E,N53A2,BIS,11/15/2009,2009319,Yes,9.6,-25.7
109,109,2009/2010,3,PAL,ADPE,AD 1E,N55A1,BIS,11/20/2009,2009324,Yes,9.8,-25.3
110,110,2009/2010,3,PAL,ADPE,AD 1E,N55A2,BIS,11/20/2009,2009324,Yes,9.3,-25.5
111,111,2009/2010,3,PAL,ADPE,AD 1E,N58A1,BIS,11/12/2009,2009316,Yes,8.4,-26.6
112,112,2009/2010,3,PAL,ADPE,AD 1E,N58A2,BIS,11/12/2009,2009316,Yes,8.7,-26.3
113,113,2009/2010,3,PAL,ADPE,AD 1E,N60A1,BIS,11/15/2009,2009319,Yes,9,-26.1
114,114,2009/2010,3,PAL,ADPE,AD 1E,N60A2,BIS,11/15/2009,2009319,Yes,8.8,-26.4
115,115,2009/2010,3,PAL,ADPE,AD 1E,N61A1,BIS,11/17/2009,2009321,Yes,8.8,-26.8
116,116,2009/2010,3,PAL,ADPE,AD 1E,N61A2,BIS,11/17/2009,2009321,Yes,8.9,-26.4
117,117,2009/2010,3,PAL,ADPE,AD 1E,N63A1,TOR,11/19/2009,2009323,Yes,9.2,-25.8
118,118,2009/2010,3,PAL,ADPE,AD 1E,N63A2,TOR,11/19/2009,2009323,Yes,9.5,-26.4
119,119,2009/2010,3,PAL,ADPE,AD 1E,N64A1,TOR,11/22/2009,2009326,Yes,9,-23.9
120,120,2009/2010,3,PAL,ADPE,AD 1E,N64A2,TOR,11/22/2009,2009326,Yes,9.3,-26.1
123,123,2009/2010,3,PAL,ADPE,AD 1E,N67A1,TOR,11/16/2009,2009320,Yes,9.3,-25.6
124,124,2009/2010,3,PAL,ADPE,AD 1E,N67A2,TOR,11/16/2009,2009320,Yes,9.6,-25.4
125,125,2009/2010,3,PAL,ADPE,AD 1E,N69A1,TOR,11/18/2009,2009322,Yes,8.8,-26
126,126,2009/2010,3,PAL,ADPE,AD 1E,N69A2,TOR,11/18/2009,2009322,Yes,9.2,-25.6
127,127,2009/2010,3,PAL,ADPE,AD 1E,N71A1,TOR,11/21/2009,2009325,Yes,8.9,-25.9
128,128,2009/2010,3,PAL,ADPE,AD 1E,N71A2,TOR,11/21/2009,2009325,Yes,8.5,-26
129,129,2009/2010,3,PAL,ADPE,AD 1E,N72A1,TOR,11/19/2009,2009323,Yes,9.2,-25.7
130,130,2009/2010,3,PAL,ADPE,AD 1E,N72A2,TOR,11/19/2009,2009323,Yes,9.1,-26
133,133,2009/2010,3,PAL,ADPE,AD 1E,N76A1,DRE,11/10/2009,2009314,Yes,9,-25.6
134,134,2009/2010,3,PAL,ADPE,AD 1E,N76A2,DRE,11/10/2009,2009314,Yes,8.6,-26.5
135,135,2009/2010,3,PAL,ADPE,AD 1E,N77A1,DRE,11/13/2009,2009317,Yes,8.7,-25.8
136,136,2009/2010,3,PAL,ADPE,AD 1E,N77A2,DRE,11/13/2009,2009317,Yes,8.9,-26.1
137,137,2009/2010,3,PAL,ADPE,AD 1E,N78A1,DRE,11/17/2009,2009321,Yes,8.8,-26
138,138,2009/2010,3,PAL,ADPE,AD 1E,N78A2,DRE,11/17/2009,2009321,Yes,9,-26.3
141,141,2009/2010,3,PAL,ADPE,AD 1E,N80A1,DRE,11/16/2009,2009320,Yes,9.3,-25.6
142,142,2009/2010,3,PAL,ADPE,AD 1E,N80A2,DRE,11/16/2009,2009320,Yes,9.2,-26
143,143,2009/2010,3,PAL,ADPE,AD 1E,N81A1,DRE,11/16/2009,2009320,Yes,8.8,-26.6
144,144,2009/2010,3,PAL,ADPE,AD 1E,N81A2,DRE,11/16/2009,2009320,Yes,9.1,-25.8
145,145,2009/2010,3,PAL,ADPE,AD 1E,N82A1,DRE,11/16/2009,2009320,Yes,9.1,-25.9
146,146,2009/2010,3,PAL,ADPE,AD 1E,N82A2,DRE,11/16/2009,2009320,Yes,9.2,-26
147,147,2009/2010,3,PAL,ADPE,AD 1E,N83A1,DRE,11/14/2009,2009318,Yes,9.1,-25.8
148,148,2009/2010,3,PAL,ADPE,AD 1E,N83A2,DRE,11/14/2009,2009318,Yes,8.7,-25.8
149,149,2009/2010,3,PAL,ADPE,AD 1E,N84A1,DRE,11/17/2009,2009321,Yes,8.9,-25.8
150,150,2009/2010,3,PAL,ADPE,AD 1E,N84A2,DRE,11/17/2009,2009321,Yes,9,-26
151,151,2009/2010,3,PAL,ADPE,AD 1E,N85A1,DRE,11/17/2009,2009321,Yes,8.9,-26.1
152,152,2009/2010,3,PAL,ADPE,AD 1E,N85A2,DRE,11/17/2009,2009321,Yes,8.9,-26.1
155,3,2007/2008,1,PAL,CHPE,AD 1E,N62A1,DRE,11/26/2007,2007330,Yes,9.3,-24.8
156,4,2007/2008,1,PAL,CHPE,AD 1E,N62A2,DRE,11/26/2007,2007330,Yes,8.6,-24.6
157,5,2007/2008,1,PAL,CHPE,AD 1E,N64A1,DRE,11/22/2007,2007326,Yes,9,-24.6
158,6,2007/2008,1,PAL,CHPE,AD 1E,N64A2,DRE,11/22/2007,2007326,Yes,8.9,-24.5
159,7,2007/2008,1,PAL,CHPE,AD 1E,N66A1,DRE,11/28/2007,2007332,Yes,8.9,-24.6
160,8,2007/2008,1,PAL,CHPE,AD 1E,N66A2,DRE,11/28/2007,2007332,Yes,8.6,-24.8
161,9,2007/2008,1,PAL,CHPE,AD 1E,N67A1,DRE,11/22/2007,2007326,Yes,8.5,-24.3
162,10,2007/2008,1,PAL,CHPE,AD 1E,N67A2,DRE,11/22/2007,2007326,Yes,8.8,-24.4
163,11,2007/2008,1,PAL,CHPE,AD 1E,N68A1,DRE,11/28/2007,2007332,Yes,9,-24.6
164,12,2007/2008,1,PAL,CHPE,AD 1E,N68A2,DRE,11/28/2007,2007332,Yes,8.7,-24.4
165,13,2007/2008,1,PAL,CHPE,AD 1E,N69A1,DRE,11/26/2007,2007330,Yes,8.7,-24.8
166,14,2007/2008,1,PAL,CHPE,AD 1E,N69A2,DRE,11/26/2007,2007330,Yes,9,-24.4
167,15,2007/2008,1,PAL,CHPE,AD 1E,N70A1,DRE,11/22/2007,2007326,Yes,9.1,-24.9
168,16,2007/2008,1,PAL,CHPE,AD 1E,N70A2,DRE,11/22/2007,2007326,Yes,9.8,-24.7
171,19,2007/2008,1,PAL,CHPE,AD 1E,N72A1,DRE,12/3/2007,2007337,Yes,9.3,-24.6
172,20,2007/2008,1,PAL,CHPE,AD 1E,N72A2,DRE,12/3/2007,2007337,Yes,9.3,-24.6
173,21,2007/2008,1,PAL,CHPE,AD 1E,N73A1,DRE,12/3/2007,2007337,Yes,9.4,-24.7
174,22,2007/2008,1,PAL,CHPE,AD 1E,N73A2,DRE,12/3/2007,2007337,Yes,9.4,-24.3
181,29,2008/2009,2,PAL,CHPE,AD 1E,N62A1,DRE,11/14/2008,2008319,Yes,9.4,-24.5
