Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.E1,JulianDate.E1,Date.E1.RelNov1,Date.Sample,JulianDate.Sample,Use.Ad.Data,Cul.L.mm,Cul.D.mm,Flipper.L.mm,R.PC1.2,Mass.g,Sex.1.M.F,Sex.2.M.F,Gel.num,Egg.Mass.g,Egg.L.mm,Egg.W.mm,delta.15.N,delta.13.C
118,118,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A2,N63A2,TOR,11/18/2009,2009322,18,11/19/2009,2009323,Yes,37.3,20.5,199,1.46272,3775,MALE,0,19,122,71.7,54.8,9.5,-26.4
120,120,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N64,A2,N64A2,TOR,11/22/2009,2009326,22,11/22/2009,2009326,Yes,41.1,18.6,189,0.55939,3325,MALE,0,20b,104,67.3,52.4,9.3,-26.1
123,123,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A1,N67A1,TOR,11/16/2009,2009320,16,11/16/2009,2009320,Yes,40.2,17,176,-1.50262,3450,FEMALE,1,18,136,71.7,57.5,9.3,-25.6
124,124,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A2,N67A2,TOR,11/16/2009,2009320,16,11/16/2009,2009320,Yes,41.4,18.5,202,1.66681,3875,MALE,0,18,136,71.7,57.5,9.6,-25.4
125,125,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A1,N69A1,TOR,11/18/2009,2009322,18,11/18/2009,2009322,Yes,35.2,15.9,186,-2.31548,3050,FEMALE,1,19,99,68.2,50.6,8.8,-26
126,126,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A2,N69A2,TOR,11/18/2009,2009322,18,11/18/2009,2009322,Yes,40.6,19,199,1.47777,4000,MALE,0,19,99,68.2,50.6,9.2,-25.6
127,127,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A1,N71A1,TOR,11/21/2009,2009325,21,11/21/2009,2009325,Yes,38.8,17.6,191,-0.27058,3275,FEMALE,1,20b,127,73,55.3,8.9,-25.9
128,128,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A2,N71A2,TOR,11/21/2009,2009325,21,11/21/2009,2009325,Yes,41.5,18.3,195,1.00658,4300,MALE,0,20b,127,73,55.3,8.5,-26
129,129,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A1,N72A1,TOR,11/18/2009,2009322,18,11/19/2009,2009323,Yes,39,17.1,191,-0.46706,3050,FEMALE,1,20b,111,67.7,53.9,9.2,-25.7
130,130,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A2,N72A2,TOR,11/18/2009,2009322,18,11/19/2009,2009323,Yes,44.1,18,210,2.69989,4000,MALE,0,20b,111,67.7,53.9,9.1,-26
133,133,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A1,N76A1,DRE,11/10/2009,2009314,10,11/10/2009,2009314,Yes,36.8,18.5,193,-0.11663,3500,FEMALE,1,18,98,66.4,51,9,-25.6
134,134,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A2,N76A2,DRE,11/10/2009,2009314,10,11/10/2009,2009314,Yes,37.5,18.5,199,0.54248,4475,MALE,0,18,98,66.4,51,8.6,-26.5
135,135,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A1,N77A1,DRE,11/13/2009,2009317,13,11/13/2009,2009317,Yes,38.1,17.6,187,-0.76223,3425,FEMALE,1,18,129,73.5,55.8,8.7,-25.8
136,136,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A2,N77A2,DRE,11/13/2009,2009317,13,11/13/2009,2009317,Yes,41.1,17.5,190,0.11236,3900,MALE,0,18,129,73.5,55.8,8.9,-26.1
137,137,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A1,N78A1,DRE,11/16/2009,2009320,16,11/17/2009,2009321,Yes,35.6,17.5,191,-1.03526,3175,FEMALE,1,19,108,63.5,54.7,8.8,-26
138,138,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A2,N78A2,DRE,11/16/2009,2009320,16,11/17/2009,2009321,Yes,40.2,20.1,200,2.00271,3975,MALE,0,19,108,63.5,54.7,9,-26.3
141,141,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A1,N80A1,DRE,11/14/2009,2009318,14,11/16/2009,2009320,Yes,40.2,17.1,193,-0.03094,3400,FEMALE,1,19,128,71.9,55.6,9.3,-25.6
142,142,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A2,N80A2,DRE,11/14/2009,2009318,14,11/16/2009,2009320,Yes,40.6,17.2,187,-0.39553,3475,MALE,0,19,128,71.9,55.6,9.2,-26
143,143,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A1,N81A1,DRE,11/16/2009,2009320,16,11/16/2009,2009320,Yes,32.1,15.5,188,-3.03506,3050,FEMALE,1,19,117,68.8,56,8.8,-26.6
144,144,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A2,N81A2,DRE,11/16/2009,2009320,16,11/16/2009,2009320,Yes,40.7,17,190,-0.21845,3725,MALE,0,19,117,68.8,56,9.1,-25.8
145,145,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N82,A1,N82A1,DRE,11/16/2009,2009320,16,11/16/2009,2009320,Yes,37.3,16.8,192,-0.90868,3000,FEMALE,1,19,125,72.5,55.1,9.1,-25.9
146,146,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N82,A2,N82A2,DRE,11/16/2009,2009320,16,11/16/2009,2009320,Yes,39,18.7,185,-0.19744,3650,MALE,0,19,125,72.5,55.1,9.2,-26
147,147,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N83,A1,N83A1,DRE,11/13/2009,2009317,13,11/14/2009,2009318,Yes,39.2,18.6,190,0.21775,4250,MALE,0,18,107,65,53.6,9.1,-25.8
148,148,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N83,A2,N83A2,DRE,11/13/2009,2009317,13,11/14/2009,2009318,Yes,36.6,18.4,184,-0.96324,3475,FEMALE,1,18,107,65,53.6,8.7,-25.8
149,149,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N84,A1,N84A1,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,36,17.8,195,-0.46603,3450,FEMALE,1,19,126,72.8,55.7,8.9,-25.8
150,150,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N84,A2,N84A2,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,37.8,18.1,193,-0.08575,3750,MALE,0,19,126,72.8,55.7,9,-26
151,151,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N85,A1,N85A1,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,36,17.1,187,-1.47363,3700,FEMALE,1,Pred,149,76.3,58.5,8.9,-26.1
152,152,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N85,A2,N85A2,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,41.5,18.5,201,1.60547,4000,MALE,0,19,149,76.3,58.5,8.9,-26.1
155,3,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N62,A1,N62A1,DRE,11/26/2007,2007330,26,11/26/2007,2007330,Yes,51.3,19.2,193,0.625441467,3650,MALE,0,5,104,66.9,52.2,9.3,-24.8
156,4,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N62,A2,N62A2,DRE,11/26/2007,2007330,26,11/26/2007,2007330,Yes,45.4,18.7,188,-1.042025654,3525,FEMALE,1,5,104,66.9,52.2,8.6,-24.6
157,5,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N64,A1,N64A1,DRE,11/21/2007,2007325,21,11/22/2007,2007326,Yes,52.7,19.8,197,1.49484621,3725,MALE,0,5,96,67,50.5,9,-24.6
158,6,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N64,A2,N64A2,DRE,11/21/2007,2007325,21,11/22/2007,2007326,Yes,45.2,17.8,198,-0.791094851,3950,FEMALE,1,5,96,67,50.5,8.9,-24.5
159,7,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N66,A1,N66A1,DRE,11/28/2007,2007332,28,11/28/2007,2007332,Yes,46.1,18.2,178,-1.956708031,3250,FEMALE,1,5,99,66.1,51.3,8.9,-24.6
160,8,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N66,A2,N66A2,DRE,11/28/2007,2007332,28,11/28/2007,2007332,Yes,51.3,18.2,197,0.39680111,3750,MALE,0,5,99,66.1,51.3,8.6,-24.8
161,9,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N67,A1,N67A1,DRE,11/21/2007,2007325,22,11/22/2007,2007326,Yes,46,18.9,195,-0.294395503,4150,FEMALE,1,8a,120,62.1,54.7,8.5,-24.3
162,10,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N67,A2,N67A2,DRE,11/21/2007,2007325,22,11/22/2007,2007326,Yes,51.3,19.9,198,1.384074271,3700,MALE,0,8a,120,62.1,54.7,8.8,-24.4
163,11,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N68,A1,N68A1,DRE,11/28/2007,2007332,26,11/28/2007,2007332,Yes,46.6,17.8,193,-0.93372867,3800,FEMALE,1,8a,112,66.4,54.5,9,-24.6
164,12,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N68,A2,N68A2,DRE,11/28/2007,2007332,26,11/28/2007,2007332,Yes,51.7,20.3,194,1.360228902,3775,MALE,0,8a,112,66.4,54.5,8.7,-24.4
165,13,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N69,A1,N69A1,DRE,11/26/2007,2007330,26,11/26/2007,2007330,Yes,47,17.3,185,-1.746586591,3700,FEMALE,1,8a,112,68.1,53.1,8.7,-24.8
166,14,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N69,A2,N69A2,DRE,11/26/2007,2007330,26,11/26/2007,2007330,Yes,52,18.1,201,0.770743982,4050,MALE,0,8a,112,68.1,53.1,9,-24.4
167,15,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N70,A1,N70A1,DRE,11/22/2007,2007326,22,11/22/2007,2007326,Yes,45.9,17.1,190,-1.659415368,3575,FEMALE,1,6b,102,67.1,51.6,9.1,-24.9
168,16,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N70,A2,N70A2,DRE,11/22/2007,2007326,22,11/22/2007,2007326,Yes,50.5,19.6,201,1.315860358,4050,MALE,0,6b,102,67.1,51.6,9.8,-24.7
171,19,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N72,A1,N72A1,DRE,11/30/2007,2007334,30,12/3/2007,2007337,Yes,46.4,18.6,190,-0.769907237,3450,FEMALE,1,14a,109,68.2,52.7,9.3,-24.6
172,20,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N72,A2,N72A2,DRE,11/30/2007,2007334,30,12/3/2007,2007337,Yes,49.2,18.2,195,-0.118293452,4400,MALE,0,8a,109,68.2,52.7,9.3,-24.6
173,21,20072008,1,144,73472.77,62854.27,PAL,CHPE,AD 1E,N73,A1,N73A1,DRE,12/3/2007,2007337,33,12/3/2007,2007337,Yes,42.4,17.3,181,-2.845654065,3600,FEMALE,1,8a,124,72.3,55,9.4,-24.7
174,22,20072008,1,144,73472.77,62854.27,PAL,CHPE,AD 1E,N73,A2,N73A2,DRE,12/3/2007,2007337,33,12/3/2007,2007337,Yes,48.5,17.5,191,-0.92072176,3400,MALE,0,8a,124,72.3,55,9.4,-24.3
181,29,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N62,A1,N62A1,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,46.4,17.8,191,-1.121651064,3700,FEMALE,1,16,114,70.5,53.4,9.4,-24.5
182,30,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N62,A2,N62A2,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,52.8,20,205,2.233120032,4550,MALE,0,16,114,70.5,53.4,9.3,-24.7
183,31,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N63,A1,N63A1,DRE,11/24/2008,2008329,22,11/24/2008,2008329,Yes,40.9,16.6,187,-3.018422981,3200,FEMALE,1,16,94,66.7,49.8,9.1,-24.5
184,32,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N63,A2,N63A2,DRE,11/24/2008,2008329,22,11/24/2008,2008329,Yes,54.2,20.8,201,2.595713259,4300,MALE,0,16,94,66.7,49.8,9.5,-24.6
185,33,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N65,A1,N65A1,DRE,11/24/2008,2008329,24,11/24/2008,2008329,Yes,42.5,16.7,187,-2.689348898,3350,FEMALE,1,16,96,67.4,50.3,9.4,-24.5
186,34,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N65,A2,N65A2,DRE,11/24/2008,2008329,24,11/24/2008,2008329,Yes,51,18.8,203,1.12695608,4100,MALE,0,16,96,67.4,50.3,9.2,-24.2
187,35,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N67,A1,N67A1,DRE,11/25/2008,2008330,25,11/25/2008,2008330,Yes,49.7,18.6,195,0.182047205,3600,MALE,0,16,106,69.1,52.2,9.8,-24.3
188,36,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N67,A2,N67A2,DRE,11/25/2008,2008330,25,11/25/2008,2008330,Yes,47.5,16.8,199,-0.853909519,3900,FEMALE,1,16,106,69.1,52.2,9.1,-25.1
189,37,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N69,A1,N69A1,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,47.6,18.3,195,-0.340246176,3850,FEMALE,1,16,111,69.6,52.9,8.8,-24.7
190,38,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N69,A2,N69A2,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,52,20.7,210,2.853996134,4800,MALE,0,16,111,69.6,52.9,9.4,-24.7
193,41,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N74,A1,N74A1,DRE,11/24/2008,2008329,24,11/24/2008,2008329,Yes,49,19.5,210,1.694680347,3950,MALE,0,30,97,64.5,51.2,9.5,-24.7
194,42,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N74,A2,N74A2,DRE,11/24/2008,2008329,24,11/24/2008,2008329,Yes,46.2,17.5,187,-1.623738715,3650,FEMALE,1,17,97,64.5,51.2,9.6,-24.7
195,43,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N75,A1,N75A1,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,50.9,19.1,196,0.733227265,3550,MALE,0,30,103,67.5,52,10,-24.9
196,44,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N75,A2,N75A2,DRE,11/14/2008,2008319,14,11/14/2008,2008319,Yes,45.5,17,196,-1.321404743,3500,FEMALE,1,17,103,67.5,52,9.4,-24.7
197,45,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N86,A1,N86A1,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,50.9,17.9,196,0.090499111,3675,FEMALE,1,25,118,70.4,54.7,9.4,-24.2
198,46,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N86,A2,N86A2,DRE,11/17/2009,2009321,17,11/17/2009,2009321,Yes,50.8,18.5,201,0.778351647,4450,MALE,0,25,118,70.4,54.7,9.5,-24.4
199,47,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N87,A1,N87A1,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,50.1,17.9,190,-0.507707247,3400,FEMALE,1,25,94,64.9,50.9,9.5,-24.5
200,48,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N87,A2,N87A2,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,49,19.6,212,1.901724245,4300,MALE,0,25,94,64.9,50.9,9.3,-24.5
201,49,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N88,A1,N88A1,DRE,11/23/2009,2009327,23,11/23/2009,2009327,Yes,51.5,18.7,187,-0.068372411,3250,MALE,0,25,94,63.2,50.8,9.7,-24.4
202,50,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N88,A2,N88A2,DRE,11/23/2009,2009327,23,11/23/2009,2009327,Yes,49.8,17.3,198,-0.266797213,3675,FEMALE,1,25,94,63.2,50.8,9.3,-24.4
203,51,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N90,A1,N90A1,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,48.1,16.4,199,-0.96483471,3325,FEMALE,1,25,95,66.8,50.1,9.5,-24.5
204,52,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N90,A2,N90A2,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,51.4,19,201,1.149472571,3950,MALE,0,25,95,66.8,50.1,9.4,-24.4
205,53,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N92,A1,N92A1,DRE,11/23/2009,2009327,23,11/23/2009,2009327,Yes,45.7,17.3,193,-1.356508357,3600,FEMALE,1,25,97,67,50.2,9.4,-24.8
206,54,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N92,A2,N92A2,DRE,11/23/2009,2009327,23,11/23/2009,2009327,Yes,50.7,19.7,203,1.557343432,4050,MALE,0,30,97,67,50.2,9.9,-24.6
207,55,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N93,A1,N93A1,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,42.5,17.3,187,-2.367984821,3350,FEMALE,1,26,97,67.1,50.3,9.6,-24.6
208,56,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N93,A2,N93A2,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,52.2,18.8,197,0.873141477,3450,MALE,0,26,97,67.1,50.3,9.8,-24.6
209,57,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N94,A1,N94A1,DRE,11/21/2009,2009325,21,11/23/2009,2009327,Yes,45.2,16.6,191,-1.971014271,3250,FEMALE,1,25,97,67.1,50.7,9.6,-24.8
210,58,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N94,A2,N94A2,DRE,11/21/2009,2009325,21,11/23/2009,2009327,Yes,49.3,19.9,203,1.423390563,4050,MALE,0,30,97,67.1,50.7,9.9,-24.6
211,59,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N95,A1,N95A1,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,50.2,18.8,202,0.912457769,3800,MALE,0,25,129,73.2,55.8,9.7,-24.4
212,60,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N95,A2,N95A2,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,45.6,19.4,194,-0.172212065,3525,FEMALE,1,25,129,73.2,55.8,9.5,-24.7
213,61,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N96,A1,N96A1,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,51.9,19.5,206,1.887081954,3950,MALE,0,26,97,65.1,51.3,.,-23.8
214,62,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N96,A2,N96A2,DRE,11/27/2009,2009331,27,11/27/2009,2009331,Yes,46.8,16.5,189,-1.902544765,3650,FEMALE,1,26,97,65.1,51.3,9.7,-24.5
215,63,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N98,A1,N98A1,DRE,11/19/2009,2009323,19,11/19/2009,2009323,Yes,45.7,17,195,-1.363707177,3650,FEMALE,1,25,125,71.5,55.5,9.3,-24.3
216,64,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N98,A2,N98A2,DRE,11/19/2009,2009323,19,11/19/2009,2009323,Yes,55.8,19.8,207,2.796069524,4000,MALE,0,25,125,71.5,55.5,9.7,-24.5
219,67,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N100,A1,N100A1,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,50.8,19,210,1.736829529,4100,MALE,0,25,108,66,54.6,10,-24.7
220,68,20092010,3,168,80582.44,157486.72,PAL,CHPE,AD 1E,N100,A2,N100A2,DRE,11/21/2009,2009325,21,11/21/2009,2009325,Yes,50.2,18.7,198,0.551930652,3775,FEMALE,1,25,108,66,54.6,9.4,-24.3
221,1,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N31,A1,N31A1,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,46.1,13.2,211,-1.870133452,4500,FEMALE,1,4,124,68.1,57.1,8,-25.5
222,2,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N31,A2,N31A2,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,50,16.3,230,2.39392494,5700,MALE,0,4,124,68.1,57.1,8.1,-25.4
223,3,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N32,A1,N32A1,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,48.7,14.1,210,-0.950122862,4450,FEMALE,1,4,116,65.7,55.7,8.1,-25.5
224,4,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N32,A2,N32A2,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,50,15.2,218,0.661002697,5700,MALE,0,4,116,65.7,55.7,8.3,-25.4
225,5,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N33,A1,N33A1,BIS,11/18/2007,2007322,18,11/18/2007,2007322,Yes,47.6,14.5,215,-0.464843379,5400,MALE,0,4,117,67.3,54.9,8.2,-25.5
226,6,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N33,A2,N33A2,BIS,11/18/2007,2007322,18,11/18/2007,2007322,Yes,46.5,13.5,210,-1.709423624,4550,FEMALE,1,4,117,67.3,54.9,8,-25.3
227,7,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N34,A1,N34A1,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,45.4,14.6,211,-1.171146855,4800,FEMALE,1,4,118,66.5,56.7,8.2,-25.5
228,8,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N34,A2,N34A2,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,46.7,15.3,219,0.203489442,5200,MALE,0,4,118,66.5,56.7,8.2,-25.4
229,9,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N35,A1,N35A1,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,43.3,13.4,209,-2.447221569,4400,FEMALE,1,6b,106,62.8,54.3,8.1,-25.3
230,10,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N35,A2,N35A2,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,46.8,15.4,215,-0.079857763,5150,MALE,0,6b,106,62.8,54.3,8.2,-25.4
233,13,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N37,A1,N37A1,BIS,11/29/2007,2007333,29,11/29/2007,2007333,Yes,45.5,13.7,214,-1.4142141,4650,FEMALE,1,7a,130,68,57.7,7.8,-25.4
234,14,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N37,A2,N37A2,BIS,11/29/2007,2007333,29,11/29/2007,2007333,Yes,48.4,14.6,213,-0.4390353,5850,MALE,0,7a,130,68,57.7,7.8,-25.5
235,15,20072008,1,144,73472.77,62854.27,PAL,GEPE,AD 1E,N38,A1,N38A1,BIS,12/3/2007,2007337,33,12/3/2007,2007337,Yes,45.8,14.6,210,-1.187803973,4200,FEMALE,1,7a,112,64.7,54.9,7.8,-25.6
236,16,20072008,1,144,73472.77,62854.27,PAL,GEPE,AD 1E,N38,A2,N38A2,BIS,12/3/2007,2007337,33,12/3/2007,2007337,Yes,49.3,15.7,217,0.737673723,5850,MALE,0,7a,112,64.7,54.9,8.1,-25.5
237,17,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N39,A1,N39A1,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,42,13.5,210,-2.536946763,4150,FEMALE,1,7a,116,64.8,55.5,7.6,-25.5
238,18,20072008,1,144,73472.77,75745.07,PAL,GEPE,AD 1E,N39,A2,N39A2,BIS,11/27/2007,2007331,26,11/27/2007,2007331,Yes,49.2,15.2,221,0.784531665,6300,MALE,0,7a,116,64.8,55.5,8.3,-25
