Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.E1,JulianDate.E1,Date.E1.RelNov1,Date.Sample,JulianDate.Sample,Use.Ad.Data,delta.15.N,delta.13.C
2,2,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N1,A2,N1A2,TOR,11/11/07,2007315,11,11/11/07,2007315,Yes,9,-24.7
3,3,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N2,A1,N2A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.4,-25.3
5,5,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A1,N3A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.8,-25.3
6,6,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A2,N3A2,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.7,-25.3
10,10,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N5,A2,N5A2,TOR,11/9/07,2007313,9,11/9/07,2007313,Yes,9.1,-25.1
11,11,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N6,A1,N6A1,TOR,11/9/07,2007313,9,11/9/07,2007313,Yes,8.6,-25.2
15,15,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N8,A1,N8A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.6,-25.2
17,17,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A1,N9A1,TOR,11/12/07,2007316,12,11/12/07,2007316,Yes,9.2,-25.1
18,18,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A2,N9A2,TOR,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
19,19,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A1,N10A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.5,-25.2
20,20,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A2,N10A2,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,9.1,-24.8
21,21,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A1,N11A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
22,22,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A2,N11A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
23,23,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A1,N12A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,9.2,-25
24,24,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A2,N12A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.4,-25.2
25,25,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A1,N13A1,BIS,11/10/07,2007314,10,11/10/07,2007314,Yes,9.6,-25.3
26,26,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A2,N13A2,BIS,11/10/07,2007314,10,11/10/07,2007314,Yes,9.2,-24.4
27,27,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A1,N17A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.9,-25.4
28,28,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A2,N17A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.1,-25.5
31,31,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A1,N21A1,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,9.7,-25.1
32,32,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A2,N21A2,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,9.7,-25
33,33,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A1,N22A1,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,9.7,-25.1
34,34,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A2,N22A2,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,8.8,-25.1
35,35,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A1,N23A1,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.2,-25.2
36,36,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A2,N23A2,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.2,-25
37,37,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A1,N24A1,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.2,-25.1
38,38,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A2,N24A2,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,8,-25.5
41,41,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N26,A1,N26A1,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.7,-24.4
43,43,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A1,N27A1,DRE,11/19/07,2007323,19,11/19/07,2007323,Yes,9.5,-25
44,44,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A2,N27A2,DRE,11/19/07,2007323,19,11/19/07,2007323,Yes,9.2,-24.5
45,45,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A1,N28A1,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.4,-25
46,46,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A2,N28A2,DRE,11/16/07,2007320,16,11/16/07,2007320,Yes,9.5,-24.1
49,49,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A1,N30A1,DRE,11/13/07,2007317,13,11/13/07,2007317,Yes,9.5,-25.1
50,50,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A2,N30A2,DRE,11/13/07,2007317,13,11/13/07,2007317,Yes,8.9,-25.2
51,51,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A1,N21A1,BIS,11/6/08,2008311,6,11/6/08,2008311,Yes,8.5,-26.1
52,52,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A2,N21A2,BIS,11/6/08,2008311,6,11/6/08,2008311,Yes,8.5,-26.6
53,53,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A1,N22A1,BIS,11/9/08,2008314,9,11/9/08,2008314,Yes,8.2,-26.2
54,54,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A2,N22A2,BIS,11/9/08,2008314,9,11/9/08,2008314,Yes,8.5,-26.3
55,55,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A1,N23A1,BIS,11/9/08,2008314,9,11/9/08,2008314,Yes,8.4,-26.5
56,56,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A2,N23A2,BIS,11/9/08,2008314,9,11/9/08,2008314,Yes,8.4,-26.3
57,57,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A1,N24A1,BIS,11/15/08,2008320,15,11/15/08,2008320,Yes,8.6,-26.1
58,58,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A2,N24A2,BIS,11/15/08,2008320,15,11/15/08,2008320,Yes,8.6,-26
59,59,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A1,N25A1,BIS,11/15/08,2008320,15,11/15/08,2008320,Yes,9.1,-25.9
60,60,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A2,N25A2,BIS,11/15/08,2008320,15,11/15/08,2008320,Yes,9.1,-25.9
61,61,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A1,N27A1,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,9,-26.4
62,62,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A2,N27A2,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,8.7,-26.4
63,63,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A1,N28A1,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,8.6,-26.2
64,64,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A2,N28A2,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,8.6,-26.6
65,65,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A1,N29A1,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,8.6,-26.1
66,66,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A2,N29A2,BIS,11/13/08,2008318,12,11/13/08,2008318,Yes,8.9,-26.1
67,67,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A1,N30A1,BIS,11/6/08,2008311,6,11/6/08,2008311,Yes,8.6,-26
68,68,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A2,N30A2,BIS,11/6/08,2008311,6,11/6/08,2008311,Yes,8.7,-25.8
71,71,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A1,N34A1,TOR,11/14/08,2008319,14,11/15/08,2008320,Yes,7.9,-26.6
72,72,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A2,N34A2,TOR,11/14/08,2008319,14,11/15/08,2008320,Yes,9.3,-25.2
73,73,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A1,N35A1,TOR,11/11/08,2008316,11,11/11/08,2008316,Yes,8.3,-26.6
74,74,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A2,N35A2,TOR,11/11/08,2008316,11,11/11/08,2008316,Yes,8.2,-26.5
75,75,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A1,N36A1,TOR,11/8/08,2008313,8,11/8/08,2008313,Yes,8.7,-26.2
76,76,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A2,N36A2,TOR,11/8/08,2008313,8,11/8/08,2008313,Yes,8.3,-26.4
77,77,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A1,N37A1,TOR,11/6/08,2008311,6,11/7/08,2008312,Yes,8.5,-26
78,78,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A2,N37A2,TOR,11/6/08,2008311,6,11/7/08,2008312,Yes,8.4,-26.4
79,79,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A1,N38A1,TOR,11/9/08,2008314,9,11/10/08,2008315,Yes,7.8,-26.5
80,80,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A2,N38A2,TOR,11/9/08,2008314,9,11/10/08,2008315,Yes,9.1,-25.8
81,81,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A1,N39A1,TOR,11/2/08,2008307,2,11/4/08,2008309,Yes,7.7,-26.5
82,82,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A2,N39A2,TOR,11/2/08,2008307,2,11/4/08,2008309,Yes,8.6,-26.2
83,83,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A1,N40A1,TOR,11/7/08,2008312,7,11/7/08,2008312,Yes,7.9,-26.2
84,84,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A2,N40A2,TOR,11/7/08,2008312,7,11/7/08,2008312,Yes,8.9,-26.5
85,85,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A1,N41A1,DRE,11/17/08,2008322,17,11/17/08,2008322,Yes,8.3,-26.4
86,86,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A2,N41A2,DRE,11/17/08,2008322,17,11/17/08,2008322,Yes,9.1,-26.1
87,87,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A1,N42A1,DRE,11/7/08,2008312,7,11/8/08,2008313,Yes,8.6,-26.2
88,88,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A2,N42A2,DRE,11/7/08,2008312,7,11/8/08,2008313,Yes,8.6,-26.1
89,89,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A1,N44A1,DRE,11/8/08,2008313,8,11/8/08,2008313,Yes,9.1,-26.1
90,90,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A2,N44A2,DRE,11/8/08,2008313,8,11/8/08,2008313,Yes,8.4,-26.1
91,91,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A1,N45A1,DRE,11/14/08,2008319,14,11/14/08,2008319,Yes,8.5,-26.1
92,92,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A2,N45A2,DRE,11/14/08,2008319,14,11/14/08,2008319,Yes,8.8,-25.8
93,93,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A1,N46A1,DRE,11/5/08,2008310,5,11/5/08,2008310,Yes,8,-26.7
94,94,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A2,N46A2,DRE,11/5/08,2008310,5,11/5/08,2008310,Yes,8.5,-26.4
95,95,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A1,N48A1,DRE,11/17/08,2008322,17,11/17/08,2008322,Yes,8.9,-26.3
96,96,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A2,N48A2,DRE,11/17/08,2008322,17,11/17/08,2008322,Yes,8.5,-26.6
97,97,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A1,N49A1,DRE,11/7/08,2008312,7,11/8/08,2008313,Yes,8.1,-26.5
98,98,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A2,N49A2,DRE,11/7/08,2008312,7,11/8/08,2008313,Yes,8.4,-26
99,99,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A1,N50A1,DRE,11/10/08,2008315,10,11/10/08,2008315,Yes,9,-26.2
100,100,20082009,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A2,N50A2,DRE,11/10/08,2008315,10,11/10/08,2008315,Yes,9,-26
101,101,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A1,N47A1,BIS,11/9/09,2009313,9,11/9/09,2009313,Yes,8.8,-26.3
102,102,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A2,N47A2,BIS,11/9/09,2009313,9,11/9/09,2009313,Yes,9,-26.4
103,103,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A1,N49A1,BIS,11/15/09,2009319,15,11/15/09,2009319,Yes,9.2,-26.2
104,104,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A2,N49A2,BIS,11/15/09,2009319,15,11/15/09,2009319,Yes,9.5,-25.7
105,105,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N51,A1,N51A1,BIS,11/15/09,2009319,15,11/17/09,2009321,Yes,9,-25.9
106,106,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N51,A2,N51A2,BIS,11/15/09,2009319,15,11/17/09,2009321,Yes,8.9,-25.8
107,107,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A1,N53A1,BIS,11/15/09,2009319,15,11/15/09,2009319,Yes,8.8,-26.5
108,108,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A2,N53A2,BIS,11/15/09,2009319,15,11/15/09,2009319,Yes,9.6,-25.7
109,109,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A1,N55A1,BIS,11/19/09,2009323,19,11/20/09,2009324,Yes,9.8,-25.3
110,110,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A2,N55A2,BIS,11/19/09,2009323,19,11/20/09,2009324,Yes,9.3,-25.5
111,111,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A1,N58A1,BIS,11/12/09,2009316,12,11/12/09,2009316,Yes,8.4,-26.6
112,112,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A2,N58A2,BIS,11/12/09,2009316,12,11/12/09,2009316,Yes,8.7,-26.3
113,113,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A1,N60A1,BIS,11/14/09,2009318,14,11/15/09,2009319,Yes,9,-26.1
114,114,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A2,N60A2,BIS,11/14/09,2009318,14,11/15/09,2009319,Yes,8.8,-26.4
115,115,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A1,N61A1,BIS,11/17/09,2009321,17,11/17/09,2009321,Yes,8.8,-26.8
116,116,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A2,N61A2,BIS,11/17/09,2009321,17,11/17/09,2009321,Yes,8.9,-26.4
117,117,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A1,N63A1,TOR,11/18/09,2009322,18,11/19/09,2009323,Yes,9.2,-25.8
118,118,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A2,N63A2,TOR,11/18/09,2009322,18,11/19/09,2009323,Yes,9.5,-26.4
120,120,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N64,A2,N64A2,TOR,11/22/09,2009326,22,11/22/09,2009326,Yes,9.3,-26.1
123,123,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A1,N67A1,TOR,11/16/09,2009320,16,11/16/09,2009320,Yes,9.3,-25.6
124,124,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A2,N67A2,TOR,11/16/09,2009320,16,11/16/09,2009320,Yes,9.6,-25.4
125,125,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A1,N69A1,TOR,11/18/09,2009322,18,11/18/09,2009322,Yes,8.8,-26
126,126,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A2,N69A2,TOR,11/18/09,2009322,18,11/18/09,2009322,Yes,9.2,-25.6
127,127,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A1,N71A1,TOR,11/21/09,2009325,21,11/21/09,2009325,Yes,8.9,-25.9
128,128,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A2,N71A2,TOR,11/21/09,2009325,21,11/21/09,2009325,Yes,8.5,-26
129,129,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A1,N72A1,TOR,11/18/09,2009322,18,11/19/09,2009323,Yes,9.2,-25.7
130,130,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A2,N72A2,TOR,11/18/09,2009322,18,11/19/09,2009323,Yes,9.1,-26
133,133,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A1,N76A1,DRE,11/10/09,2009314,10,11/10/09,2009314,Yes,9,-25.6
134,134,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A2,N76A2,DRE,11/10/09,2009314,10,11/10/09,2009314,Yes,8.6,-26.5
135,135,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A1,N77A1,DRE,11/13/09,2009317,13,11/13/09,2009317,Yes,8.7,-25.8
136,136,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A2,N77A2,DRE,11/13/09,2009317,13,11/13/09,2009317,Yes,8.9,-26.1
137,137,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A1,N78A1,DRE,11/16/09,2009320,16,11/17/09,2009321,Yes,8.8,-26
138,138,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A2,N78A2,DRE,11/16/09,2009320,16,11/17/09,2009321,Yes,9,-26.3
141,141,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A1,N80A1,DRE,11/14/09,2009318,14,11/16/09,2009320,Yes,9.3,-25.6
142,142,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A2,N80A2,DRE,11/14/09,2009318,14,11/16/09,2009320,Yes,9.2,-26
143,143,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A1,N81A1,DRE,11/16/09,2009320,16,11/16/09,2009320,Yes,8.8,-26.6
144,144,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A2,N81A2,DRE,11/16/09,2009320,16,11/16/09,2009320,Yes,9.1,-25.8
145,145,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N82,A1,N82A1,DRE,11/16/09,2009320,16,11/16/09,2009320,Yes,9.1,-25.9
146,146,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N82,A2,N82A2,DRE,11/16/09,2009320,16,11/16/09,2009320,Yes,9.2,-26
147,147,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N83,A1,N83A1,DRE,11/13/09,2009317,13,11/14/09,2009318,Yes,9.1,-25.8
148,148,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N83,A2,N83A2,DRE,11/13/09,2009317,13,11/14/09,2009318,Yes,8.7,-25.8
149,149,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N84,A1,N84A1,DRE,11/17/09,2009321,17,11/17/09,2009321,Yes,8.9,-25.8
150,150,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N84,A2,N84A2,DRE,11/17/09,2009321,17,11/17/09,2009321,Yes,9,-26
151,151,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N85,A1,N85A1,DRE,11/17/09,2009321,17,11/17/09,2009321,Yes,8.9,-26.1
152,152,20092010,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N85,A2,N85A2,DRE,11/17/09,2009321,17,11/17/09,2009321,Yes,8.9,-26.1
155,3,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N62,A1,N62A1,DRE,11/26/07,2007330,26,11/26/07,2007330,Yes,9.3,-24.8
156,4,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N62,A2,N62A2,DRE,11/26/07,2007330,26,11/26/07,2007330,Yes,8.6,-24.6
157,5,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N64,A1,N64A1,DRE,11/21/07,2007325,21,11/22/07,2007326,Yes,9,-24.6
158,6,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N64,A2,N64A2,DRE,11/21/07,2007325,21,11/22/07,2007326,Yes,8.9,-24.5
159,7,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N66,A1,N66A1,DRE,11/28/07,2007332,28,11/28/07,2007332,Yes,8.9,-24.6
160,8,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N66,A2,N66A2,DRE,11/28/07,2007332,28,11/28/07,2007332,Yes,8.6,-24.8
161,9,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N67,A1,N67A1,DRE,11/21/07,2007325,22,11/22/07,2007326,Yes,8.5,-24.3
162,10,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N67,A2,N67A2,DRE,11/21/07,2007325,22,11/22/07,2007326,Yes,8.8,-24.4
163,11,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N68,A1,N68A1,DRE,11/28/07,2007332,26,11/28/07,2007332,Yes,9,-24.6
164,12,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N68,A2,N68A2,DRE,11/28/07,2007332,26,11/28/07,2007332,Yes,8.7,-24.4
165,13,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N69,A1,N69A1,DRE,11/26/07,2007330,26,11/26/07,2007330,Yes,8.7,-24.8
166,14,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N69,A2,N69A2,DRE,11/26/07,2007330,26,11/26/07,2007330,Yes,9,-24.4
167,15,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N70,A1,N70A1,DRE,11/22/07,2007326,22,11/22/07,2007326,Yes,9.1,-24.9
168,16,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N70,A2,N70A2,DRE,11/22/07,2007326,22,11/22/07,2007326,Yes,9.8,-24.7
171,19,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N72,A1,N72A1,DRE,11/30/07,2007334,30,12/3/07,2007337,Yes,9.3,-24.6
172,20,20072008,1,144,73472.77,75745.07,PAL,CHPE,AD 1E,N72,A2,N72A2,DRE,11/30/07,2007334,30,12/3/07,2007337,Yes,9.3,-24.6
173,21,20072008,1,144,73472.77,62854.27,PAL,CHPE,AD 1E,N73,A1,N73A1,DRE,12/3/07,2007337,33,12/3/07,2007337,Yes,9.4,-24.7
174,22,20072008,1,144,73472.77,62854.27,PAL,CHPE,AD 1E,N73,A2,N73A2,DRE,12/3/07,2007337,33,12/3/07,2007337,Yes,9.4,-24.3
181,29,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N62,A1,N62A1,DRE,11/14/08,2008319,14,11/14/08,2008319,Yes,9.4,-24.5
182,30,20082009,2,117,60532.056,47148.46,PAL,CHPE,AD 1E,N62,A2,N62A2,DRE,11/14/08,2008319,14,11/14/08,2008319,Yes,9.3,-24.7
