Sample.num.2,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP1,DRE,1/22/10,2010022,8.2,-26.4
2,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP2,DRE,1/22/10,2010022,7.7,-26.2
3,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP3,DRE,1/22/10,2010022,7.6,-26.3
4,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP4,DRE,1/22/10,2010022,7.5,-26.3
5,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP5,DRE,1/22/10,2010022,7.9,-26.6
6,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP6,DRE,1/22/10,2010022,7.3,-26.7
7,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP7,BIS,1/22/10,2010022,7.7,-26.6
8,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP9,BIS,1/22/10,2010022,7.6,-26.6
9,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP10,BIS,1/22/10,2010022,7.5,-26.7
10,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP11,BIS,1/22/10,2010022,7.8,-26.5
11,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP12,TOR,1/22/10,2010022,7.6,-26.7
12,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP13,TOR,1/22/10,2010022,7.7,-26.8
13,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP14,TOR,1/22/10,2010022,7.9,-26.6
14,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP15,TOR,1/22/10,2010022,7.6,-26.7
15,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP16,TOR,1/22/10,2010022,7.6,-26.9
16,2009/2010,3,PAL,ADPE,Penguin,CK POP,PAL POP17,TOR,1/22/10,2010022,7.7,-26.8
17,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP1,DRE,1/31/10,2010031,7.9,-26.7
18,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP2,DRE,1/31/10,2010031,7.9,-26.8
19,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP3,DRE,1/31/10,2010031,7.5,-26.7
20,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP4,DRE,1/31/10,2010031,8,-26.4
21,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP5,DRE,1/31/10,2010031,7.8,-26.7
22,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP6,DRE,1/31/10,2010031,7.7,-26.7
23,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP7,DRE,1/31/10,2010031,7.8,-26.7
24,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP8,DRE,1/31/10,2010031,7.8,-26.7
25,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP9,DRE,1/31/10,2010031,7.7,-26.6
26,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP10,DRE,2/1/10,2010032,7.9,-26.6
27,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP11,DRE,2/1/10,2010032,7.7,-26.8
28,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP12,DRE,2/1/10,2010032,8,-26.8
29,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP13,DRE,2/1/10,2010032,7.6,-26.6
30,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP14,DRE,2/1/10,2010032,7.6,-26.7
31,2009/2010,3,PAL,CHPE,Penguin,CK POP,PAL POP15,DRE,2/1/10,2010032,8,-26.7
32,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP1,BIS,2/1/10,2010032,8,-26.2
33,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP2,BIS,2/1/10,2010032,7.8,-26.2
34,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP3,BIS,2/1/10,2010032,7.6,-26.2
35,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP4,BIS,2/1/10,2010032,7.5,-26.3
36,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP5,BIS,2/1/10,2010032,7.8,-26.1
37,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP6,BIS,2/1/10,2010032,7.8,-26.3
38,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP7,BIS,2/1/10,2010032,8,-26.1
39,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP8,BIS,2/2/10,2010033,7.7,-26.2
40,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP9,BIS,2/2/10,2010033,7.8,-26.3
41,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP10,BIS,2/2/10,2010033,7.5,-26.1
42,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP12,BIS,2/2/10,2010033,7.9,-26.1
43,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP13,BIS,2/2/10,2010033,7.8,-26.3
44,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP14,BIS,2/2/10,2010033,8.1,-26
45,2009/2010,3,PAL,GEPE,Penguin,CK POP,PAL POP15,BIS,2/2/10,2010033,8.3,-25.9
46,2009/2010,3,PAL,E. superba,Baseline,Zoo,48-10Lip53,500.1,1/11/10,2010011,4.3,-26.6
47,2009/2010,3,PAL,E. superba,Baseline,Zoo,49-10Lip11,600.1,1/6/10,2010006,4.6,-26
48,2009/2010,3,PAL,E. superba,Baseline,Zoo,50-10Lip17,600.1,1/6/10,2010006,4.4,-26
49,2009/2010,3,PAL,E. superba,Baseline,Zoo,56-10Lip9,600.04,1/6/10,2010006,3.6,-26.4
50,2009/2010,3,PAL,E. superba,Baseline,Zoo,106-10Lip42,500.2,1/7/10,2010007,3.4,-26.8
51,2009/2010,3,PAL,E. superba,Baseline,Zoo,108-10Lip46,500.2,1/7/10,2010007,3.6,-26.7
52,2009/2010,3,PAL,E. superba,Baseline,Zoo,114-10Lip16,600.1,1/6/10,2010006,4,-27.2
53,2009/2010,3,PAL,E. superba,Baseline,Zoo,115-10Lip41,500.2,1/7/10,2010007,3.6,-25.4
54,2009/2010,3,PAL,E. superba,Baseline,Zoo,117-10Lip46,500.2,1/7/10,2010007,5,-24.9
55,2009/2010,3,PAL,E. superba,Baseline,Zoo,118-10Lip40,500.2,1/7/10,2010007,3.2,-25.8
56,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv367,PALAP09015,1/26/10,2010026,4.2,-25.5
57,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv368,PALAP09015,1/26/10,2010026,3.3,-26.1
58,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv369,PALAP09015,1/26/10,2010026,5,-26.9
59,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv370,PALAP09015,1/26/10,2010026,4.7,-26.6
60,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv371,PALAP09015,1/26/10,2010026,5.1,-26.9
61,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv379,PALGP09103,1/25/10,2010025,4.1,-25.8
62,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv380,PALGP09103,1/25/10,2010025,4.5,-25.7
63,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv381,PALGP09103,1/25/10,2010025,5.1,-25.4
64,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv382,PALGP09103,1/25/10,2010025,4.5,-24.5
65,2009/2010,3,PAL,E. superba,Baseline,Zoo,Inv383,PALGP09103,1/25/10,2010025,5.3,-26.4