Sample.Num.Overall,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP1,AVI,1/23/09,2009023,8.3,-25.7
2,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP2,AVI,1/23/09,2009023,8.2,-25.6
3,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP3,AVI,1/23/09,2009023,8.5,-25.3
4,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP4,AVI,1/23/09,2009023,8.1,-25.8
5,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP5,AVI,1/23/09,2009023,8.1,-25.6
6,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP6,AVI,1/23/09,2009023,8.4,-25.6
7,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP7,AVI,1/23/09,2009023,8.4,-25.4
8,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP8,AVI,1/23/09,2009023,8.4,-25.9
9,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP9,AVI,1/23/09,2009023,8.7,-25
10,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP10,AVI,1/23/09,2009023,8,-25.7
11,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP11,AVI,1/23/09,2009023,8.3,-25.4
12,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP12,AVI,1/23/09,2009023,8.1,-25.4
13,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP13,AVI,1/23/09,2009023,8.3,-25.8
14,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP14,AVI,1/23/09,2009023,8.4,-25.5
15,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP15,AVI,1/23/09,2009023,8.2,-25.5
16,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP16,AVI,1/23/09,2009023,8.1,-25.4
17,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP17,AVI,1/23/09,2009023,8.3,-25.5
18,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP18,AVI,1/23/09,2009023,8.56,-27.28
19,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP19,AVI,1/23/09,2009023,8.1,-25.8
20,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP20,AVI,1/23/09,2009023,8.3,-25.5
21,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP21,AVI,1/23/09,2009023,8,-25.8
22,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP22,AVI,1/23/09,2009023,8.3,-25.6
23,2008/2009,2,AVI,ADPE,Penguin,CK POP,AVI POP23,AVI,1/23/09,2009023,8.3,-25.4
24,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv152,200.06,1/17/09,2009017,3.9,-28.1
25,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv153,200.06,1/17/09,2009017,4.4,-27.6
26,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv154,200.06,1/17/09,2009017,3.9,-26.4
27,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv155,200.06,1/17/09,2009017,4.4,-27.8
28,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv156,200.06,1/17/09,2009017,5.1,-28.0
29,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv180,100,1/17/09,2009017,5.1,-26.3
30,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv181,100,1/17/09,2009017,4.9,-28.0
31,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv182,100,1/17/09,2009017,4.2,-27.1
32,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv183,100,1/17/09,2009017,3.5,-27.1
33,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv184,100,1/17/09,2009017,4.2,-25.3
34,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv211,167.03,1/19/09,2009019,5.0,-26.5
35,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv212,167.03,1/19/09,2009019,4.5,-27.2
36,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv213,167.03,1/19/09,2009019,5.8,-24.2
37,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv214,167.03,1/19/09,2009019,5.9,-24.9
38,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv215,167.03,1/19/09,2009019,4.7,-26.6
39,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv396,AVIAP020,1/22/09,2009022,6.1,-25.7
40,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv397,AVIAP020,1/22/09,2009022,4.5,-26.2
41,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv398,AVIAP020,1/22/09,2009022,4.8,-26.3
42,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv399,AVIAP020,1/22/09,2009022,5.5,-26.0
43,2008/2009,2,AVI,E. superba,Baseline,Zoo,Inv400,AVIAP020,1/22/09,2009022,4.8,-25.5